trial_id,agent,repeat,condition,probe_id,mapping,call_id,on_target,label,dim_raw,dim_z,logistic_raw,logistic_z
0,Ruth,2,seeded,rel-on-3,standard,c000001,True,0,-2.6895788,-1.72698094895446,-4.4501634,-2.177224643209694
0,Ruth,2,seeded,rel-on-3,reversed,c000002,True,0,-1.7085154,-1.0364555589632942,-3.3477507,-1.618294142506896
1,Ruth,2,repeat,rel-ctrl-2,standard,c000003,False,1,2.472937,1.906676584529279,3.0645652,1.6327922283782805
1,Ruth,2,repeat,rel-ctrl-2,reversed,c000004,False,1,-0.4930485,-0.18094428851774635,0.7141647,0.4411236892704239
2,Maria,2,neutral,rel-ctrl-1,standard,c000005,False,0,-1.4278934,-0.8389386334614782,-1.8836414,-0.8759810826848128
2,Maria,2,neutral,rel-ctrl-1,reversed,c000006,False,0,-1.6671901,-1.0073685589665609,-3.0440912,-1.4643368067183715
3,Frank,1,seeded,rel-on-3,standard,c000007,True,0,-2.3837407,-1.511715568371588,-4.386832,-2.1451153445809563
3,Frank,1,seeded,rel-on-3,reversed,c000008,True,0,-1.5396146,-0.9175740192030325,-3.2271166,-1.5571318698608307
4,Maria,0,mentioned,rel-on-0,standard,c000009,True,0,-1.3718652,-0.7995029268900491,-1.6663125,-0.7657938957910698
4,Maria,0,mentioned,rel-on-0,reversed,c000010,True,0,-1.2473074,-0.7118324659263815,-1.8454947,-0.8566404975978493
5,Ruth,2,neutral,rel-ctrl-1,standard,c000011,False,0,-2.6043952,-1.6670241156076675,-3.8005395,-1.847861061687672
5,Ruth,2,neutral,rel-ctrl-1,reversed,c000012,False,0,-1.7805762,-1.0871758589327905,-3.362845,-1.6259470420144266
6,Frank,0,mentioned,rel-ctrl-2,standard,c000013,False,1,2.4794438,1.911256338392759,3.671591,1.9405583386933685
6,Frank,0,mentioned,rel-ctrl-2,reversed,c000014,False,1,-0.48451442,-0.17493754638054598,0.9582744,0.5648889403401645
7,Frank,0,mentioned,rel-ctrl-3,standard,c000015,False,0,-1.6999292,-1.0304121499315437,-2.184338,-1.0284363057623858
7,Frank,0,mentioned,rel-ctrl-3,reversed,c000016,False,0,-1.3332187,-0.7723014611137569,-2.3567882,-1.115869624937762
8,Maria,1,mentioned,rel-on-0,standard,c000017,True,0,-1.3718652,-0.7995029268900491,-1.6663125,-0.7657938957910698
8,Maria,1,mentioned,rel-on-0,reversed,c000018,True,0,-1.2473074,-0.7118324659263815,-1.8454947,-0.8566404975978493
9,Ruth,2,neutral,rel-ctrl-2,standard,c000019,False,1,2.472937,1.906676584529279,3.0645652,1.6327922283782805
9,Ruth,2,neutral,rel-ctrl-2,reversed,c000020,False,1,-0.4930485,-0.18094428851774635,0.7141647,0.4411236892704239
10,Frank,0,seeded,rel-on-3,standard,c000021,True,0,-2.3837407,-1.511715568371588,-4.386832,-2.1451153445809563
10,Frank,0,seeded,rel-on-3,reversed,c000022,True,0,-1.5396146,-0.9175740192030325,-3.2271166,-1.5571318698608307
11,Ruth,2,neutral,rel-ctrl-3,standard,c000023,False,0,-2.2103794,-1.3896945201596418,-3.472548,-1.6815672180466668
11,Ruth,2,neutral,rel-ctrl-3,reversed,c000024,False,0,-1.5697011,-0.9387505352537551,-3.0043008,-1.4441628159189663
12,Frank,0,repeat,rel-on-2,standard,c000025,True,1,2.3590248,1.826498923756311,2.9474156,1.5733966138636726
