trial_id,agent,repeat,condition,probe_id,mapping,call_id,on_target,label,dim_raw,dim_z,logistic_raw,logistic_z
0,Ruth,2,seeded,rel-on-3,standard,c000001,True,0,-67.84418,-1.0362885493049834,-4.2596965,-0.9542424068773055
0,Ruth,2,seeded,rel-on-3,reversed,c000002,True,0,-54.604324,-0.8248830045528674,-3.8742597,-0.8681716173458787
1,Ruth,2,repeat,rel-ctrl-2,standard,c000003,False,1,65.787636,1.0974591921560624,5.010215,1.1157951163137267
1,Ruth,2,repeat,rel-ctrl-2,reversed,c000004,False,1,59.85852,1.0027868526752333,3.5302222,0.785302172139348
2,Maria,2,neutral,rel-ctrl-1,standard,c000005,False,0,-79.82451,-1.227582856610856,-4.0498967,-0.9073926177535541
2,Maria,2,neutral,rel-ctrl-1,reversed,c000006,False,0,-75.48103,-1.1582290067365708,-4.430813,-0.9924539127470504
3,Frank,1,seeded,rel-on-3,standard,c000007,True,0,-70.101944,-1.0723391314034207,-1.8464385,-0.415344636742627
3,Frank,1,seeded,rel-on-3,reversed,c000008,True,0,-55.761803,-0.8433648818951451,-1.3576437,-0.30619325944626535
4,Maria,0,mentioned,rel-on-0,standard,c000009,True,0,-68.091034,-1.0402301998114445,-2.6197531,-0.5880313194301101
4,Maria,0,mentioned,rel-on-0,reversed,c000010,True,0,-58.655624,-0.8895715853025563,-3.544215,-0.794470263787867
5,Ruth,2,neutral,rel-ctrl-1,standard,c000011,False,0,-64.13666,-0.9770892370625618,-5.6834626,-1.2721795730666265
5,Ruth,2,neutral,rel-ctrl-1,reversed,c000012,False,0,-55.557312,-0.8400997051574557,-5.577139,-1.2484367257923137
6,Frank,0,mentioned,rel-ctrl-2,standard,c000013,False,1,69.6455,1.159059115255213,4.279296,0.9525756992494737
6,Frank,0,mentioned,rel-ctrl-2,reversed,c000014,False,1,63.28031,1.0574238348052345,2.162142,0.4798000875521152
7,Frank,0,mentioned,rel-ctrl-3,standard,c000015,False,0,-61.61518,-0.936827901170212,-1.4244281,-0.321106689803201
7,Frank,0,mentioned,rel-ctrl-3,reversed,c000016,False,0,-55.408867,-0.8377294278084566,-1.8438474,-0.41476601817618913
8,Maria,1,mentioned,rel-on-0,standard,c000017,True,0,-68.091034,-1.0402301998114445,-2.6197531,-0.5880313194301101
8,Maria,1,mentioned,rel-on-0,reversed,c000018,True,0,-58.655624,-0.8895715853025563,-3.544215,-0.794470263787867
9,Ruth,2,neutral,rel-ctrl-2,standard,c000019,False,1,65.787636,1.0974591921560624,5.010215,1.1157951163137267
9,Ruth,2,neutral,rel-ctrl-2,reversed,c000020,False,1,59.85852,1.0027868526752333,3.5302222,0.785302172139348
